Name,Filename casing,CRC,Filedate,Daylight saving,Character casing
Beyond Compare,,,,,
Compare++,,,,,
diff,,,,,
diff3,,,,,
Eclipse (compare),,,,,
Ediff,,,,,
ExamDiff Pro,,,,,
Far Manager (compare),,,,,
fc,,,,,
FileMerge (aka opendiff),,,,,
Guiffy SureMerge,filesystem dependent,,,,
IntelliJ IDEA (compare),,,,,
jEdit JDiff plugin,,,,,
Kompare,,,,,
Lazarus Diff,,,,,
Meld,,,,,
Notepad++ (compare),,,,,
Perforce P4Merge,,,,,
Pretty Diff,,,,,
Tkdiff,,,,,
Total Commander (compare),,,,,
vimdiff,,,,,
WinDiff,,,when different,,
WinMerge,,,,,
UCC,,,,,
Name,Filename casing,CRC,Filedate,Daylight saving,Character casing
